,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.005,-0.007,-0.074,-0.021,-0.018,-0.044,-0.002,-0.002,0.001,-0.001
2,-0.004,-0.006,-0.047,-0.023,-0.084,-0.008,0.001,0.0,0.002,-0.0
3,-0.003,-0.003,-0.041,-0.0,0.069,0.008,-0.001,-0.001,-0.002,-0.001
4,0.003,-0.002,-0.042,-0.014,-0.079,-0.043,-0.006,-0.002,-0.003,0.001
5,0.002,0.0,-0.004,0.002,-0.056,0.003,-0.001,-0.0,-0.0,-0.0
6,0.0,0.002,-0.032,0.004,-0.076,-0.007,-0.002,-0.001,-0.005,-0.001
7,-0.004,0.004,0.005,0.004,-0.028,-0.009,-0.001,0.001,-0.004,-0.001
8,-0.003,0.0,0.155,0.009,0.164,0.046,-0.002,-0.0,-0.004,-0.001
9,0.001,0.007,0.041,0.007,-0.008,0.031,0.002,0.0,0.003,-0.0
10,0.008,0.007,0.034,0.022,-0.008,0.02,0.007,0.005,0.01,0.002
11,0.007,0.003,0.061,0.022,0.026,0.041,0.006,0.004,0.008,0.002
12,-0.002,-0.005,-0.055,-0.01,0.099,-0.038,-0.002,-0.003,-0.006,-0.0
