,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.008,-0.008,-0.099,-0.008,-0.032,-0.027,-0.008,-0.007,-0.013,-0.001
2,-0.007,-0.007,-0.072,-0.007,-0.03,-0.025,-0.015,-0.005,-0.005,-0.001
3,0.001,-0.001,0.026,-0.0,-0.0,0.01,-0.011,0.004,0.006,0.001
4,-0.002,-0.004,-0.06,0.0,-0.015,-0.02,-0.022,-0.006,-0.01,0.0
5,-0.002,-0.003,-0.011,0.019,0.025,-0.003,-0.031,0.009,0.002,-0.0
6,-0.005,-0.003,-0.064,-0.005,-0.006,-0.019,-0.037,-0.004,-0.01,-0.001
7,-0.008,-0.005,-0.001,-0.006,-0.011,-0.001,0.025,-0.001,0.0,-0.001
8,-0.007,-0.004,0.136,0.0,0.022,0.06,0.055,0.01,0.011,-0.0
9,0.0,0.001,0.039,-0.0,0.002,0.012,-0.012,0.004,0.001,-0.0
10,0.025,0.01,0.038,0.003,0.018,0.002,-0.011,-0.003,0.001,-0.001
11,0.02,0.015,0.084,0.006,0.029,0.015,0.006,-0.001,0.018,0.002
12,-0.006,0.009,-0.016,-0.002,-0.003,-0.004,0.063,0.001,-0.001,0.001
