,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.009,-0.009,-0.085,-0.009,-0.028,-0.046,-0.007,-0.023,-0.016,-0.002
2,-0.008,-0.007,-0.057,-0.003,-0.022,-0.065,-0.006,-0.021,-0.011,-0.0
3,0.006,0.01,0.05,0.007,0.017,0.055,0.01,0.004,0.006,0.003
4,0.011,0.002,-0.021,0.002,0.0,-0.035,-0.009,-0.003,0.0,0.0
5,0.006,0.003,0.017,0.002,0.014,-0.036,0.002,-0.005,0.006,-0.001
6,-0.0,0.003,-0.05,-0.003,-0.005,-0.084,-0.011,0.014,-0.002,0.001
7,-0.01,-0.005,-0.023,-0.008,-0.015,0.107,-0.001,0.013,-0.003,-0.001
8,-0.007,-0.008,0.071,-0.005,0.014,0.285,0.02,0.026,-0.004,-0.001
9,-0.004,-0.001,-0.017,-0.004,-0.018,-0.066,-0.011,-0.034,-0.002,-0.001
10,0.006,0.001,0.014,0.003,0.005,-0.052,0.002,0.016,0.008,0.002
11,0.017,0.007,0.101,0.018,0.037,-0.044,0.011,0.013,0.015,0.002
12,-0.007,0.003,-0.001,-0.001,0.002,-0.019,0.001,-0.0,0.002,-0.001
