,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.006,-0.008,-0.077,-0.007,-0.035,-0.02,0.011,0.021,-0.017,-0.001
2,-0.003,-0.003,-0.046,-0.002,-0.029,-0.03,-0.004,-0.021,-0.014,-0.001
3,0.008,0.005,0.031,0.007,0.013,0.032,0.02,0.007,-0.0,-0.0
4,0.006,0.0,-0.023,-0.001,-0.003,-0.033,-0.016,-0.028,-0.004,-0.001
5,0.001,0.001,0.012,0.004,0.015,0.006,-0.013,-0.022,0.007,-0.001
6,-0.004,-0.0,-0.06,-0.001,-0.019,-0.035,-0.021,-0.028,-0.008,-0.0
7,-0.008,-0.004,-0.028,-0.004,-0.014,-0.029,-0.018,-0.003,-0.003,-0.001
8,-0.006,-0.004,0.084,-0.002,0.025,0.08,0.017,0.035,0.007,0.0
9,-0.0,0.002,-0.007,-0.002,-0.002,-0.011,-0.023,-0.031,0.003,0.001
10,0.008,0.006,0.042,0.008,0.03,0.028,0.007,0.015,0.017,0.001
11,0.009,0.007,0.088,0.006,0.035,0.04,0.02,0.016,0.022,0.002
12,-0.005,-0.003,-0.015,-0.005,-0.017,-0.028,0.019,0.04,-0.009,0.002
