,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.002,-0.001,-0.02,-0.004,0.008,-0.014,-0.004,-0.001,-0.004,-0.0
2,-0.002,-0.001,-0.027,-0.003,-0.038,-0.016,-0.003,-0.001,-0.002,0.001
3,0.004,0.001,0.03,0.004,0.019,0.007,0.003,0.001,0.003,0.0
4,0.002,-0.001,-0.03,-0.008,-0.045,-0.014,-0.001,-0.001,-0.002,0.002
5,-0.0,0.0,-0.004,0.001,-0.043,0.003,0.0,-0.0,-0.0,-0.0
6,-0.001,-0.001,-0.041,-0.006,-0.069,-0.016,-0.002,-0.001,-0.001,-0.001
7,-0.003,-0.0,0.012,0.001,-0.013,0.007,0.001,0.0,0.0,-0.001
8,-0.003,-0.0,0.065,0.014,0.112,0.059,0.003,0.001,0.001,-0.001
9,0.0,0.0,-0.003,-0.002,-0.044,0.003,0.002,-0.0,0.002,-0.0
10,0.003,0.002,-0.004,-0.002,-0.033,-0.01,-0.0,-0.0,0.003,0.0
11,0.004,0.004,0.042,0.01,0.019,0.004,0.002,0.002,0.004,0.001
12,-0.002,-0.001,-0.02,-0.003,0.128,-0.012,-0.001,-0.0,-0.005,-0.001
