,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.001,-0.022,0.226,0.003,-0.01,0.006,-0.001,0.002,0.031,0.003
2,0.001,-0.02,0.237,-0.012,-0.011,-0.007,-0.0,0.0,0.014,0.0
3,0.003,-0.005,0.103,0.008,-0.007,-0.003,-0.001,-0.0,-0.006,-0.0
4,-0.001,-0.011,-0.194,-0.067,-0.009,-0.005,-0.001,-0.001,-0.006,-0.0
5,0.0,0.004,-0.159,-0.047,0.004,-0.0,0.0,0.0,-0.006,-0.0
6,-0.001,-0.003,-0.235,-0.019,-0.004,-0.004,-0.001,-0.001,-0.007,-0.001
7,-0.001,0.008,-0.007,-0.018,-0.0,-0.002,0.0,-0.0,-0.005,-0.001
8,0.001,0.03,0.44,0.037,0.018,0.009,0.001,0.001,-0.004,-0.001
9,0.0,0.009,-0.145,-0.035,0.006,0.003,0.001,0.0,-0.003,-0.0
10,0.001,0.01,-0.076,0.021,0.023,0.014,0.004,0.001,0.003,0.0
11,-0.0,0.013,-0.143,0.028,0.004,0.001,0.001,-0.0,-0.004,-0.0
12,-0.002,-0.014,-0.046,0.101,-0.014,-0.012,-0.002,-0.001,-0.007,0.0
