,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.005,-0.015,-0.089,-0.016,-0.038,-0.057,-0.01,-0.008,-0.012,0.0
2,-0.006,-0.014,-0.108,-0.013,-0.057,-0.104,-0.01,-0.006,-0.01,-0.001
3,0.002,-0.008,-0.011,-0.001,-0.007,-0.032,0.002,-0.002,0.003,-0.001
4,0.006,-0.005,-0.015,0.002,-0.017,0.017,-0.002,-0.001,0.002,0.0
5,-0.002,-0.009,0.045,0.004,0.03,-0.076,0.003,0.017,0.01,-0.001
6,-0.005,-0.009,-0.02,0.001,-0.023,-0.115,-0.001,-0.005,-0.005,-0.001
7,-0.005,-0.002,-0.008,-0.006,-0.022,0.001,-0.004,-0.005,-0.007,-0.001
8,-0.004,-0.009,0.032,-0.003,0.067,0.369,-0.005,-0.005,-0.01,-0.001
9,-0.0,-0.001,0.013,0.0,-0.007,-0.052,0.001,-0.001,-0.003,-0.001
10,0.009,0.012,0.038,0.012,0.016,0.0,0.014,0.011,0.006,-0.0
11,0.012,0.029,0.146,0.024,0.045,-0.021,0.018,0.01,0.025,0.003
12,0.0,0.031,-0.023,-0.005,0.014,0.07,-0.006,-0.006,0.001,0.004
