,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.002,-0.002,-0.04,-0.004,-0.009,-0.012,-0.002,-0.004,-0.031,-0.001
2,-0.002,-0.001,-0.008,-0.001,-0.005,-0.007,-0.006,-0.004,-0.047,-0.0
3,0.003,0.003,0.039,0.003,0.008,0.018,0.002,-0.0,0.012,0.0
4,-0.001,-0.002,-0.039,-0.003,-0.006,-0.012,-0.011,0.003,-0.032,-0.002
5,-0.0,-0.001,-0.002,-0.001,-0.001,0.003,0.006,0.011,-0.021,-0.002
6,-0.002,-0.002,-0.032,-0.002,-0.011,-0.02,-0.013,-0.002,-0.092,-0.001
7,-0.003,0.001,-0.01,-0.0,-0.005,-0.003,-0.004,-0.004,0.02,-0.0
8,-0.003,-0.0,0.03,-0.001,0.011,0.024,0.023,0.004,0.159,0.003
9,-0.0,0.0,-0.01,0.0,-0.005,-0.003,-0.003,0.0,-0.018,-0.0
10,0.001,0.002,0.019,0.003,0.006,-0.002,-0.003,-0.001,-0.024,0.002
11,0.007,0.003,0.043,0.004,0.017,0.018,0.006,0.0,0.019,0.001
12,0.001,-0.001,0.01,0.002,0.002,-0.004,0.006,-0.002,0.054,0.001
