,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.002,-0.003,-0.048,-0.018,-0.013,-0.009,-0.004,-0.001,0.002,-0.0
2,-0.001,-0.043,-0.091,-0.015,-0.009,-0.012,-0.003,-0.0,0.006,-0.0
3,0.002,-0.001,-0.076,-0.007,-0.007,-0.007,-0.002,-0.001,-0.001,-0.0
4,0.002,-0.062,-0.069,-0.005,0.01,0.004,0.001,-0.0,0.001,0.001
5,0.002,-0.056,-0.083,0.005,0.002,-0.001,0.002,-0.0,-0.002,-0.0
6,-0.001,-0.008,-0.108,0.013,-0.001,0.002,0.002,-0.0,-0.003,0.0
7,-0.002,-0.015,0.025,-0.003,-0.003,0.001,-0.001,-0.001,-0.005,-0.0
8,-0.001,0.022,0.348,0.001,0.002,0.002,-0.002,-0.0,-0.005,-0.0
9,-0.0,-0.041,-0.011,-0.001,0.0,-0.001,-0.001,-0.0,-0.0,-0.0
10,0.002,0.013,0.095,0.017,0.021,0.019,0.005,0.004,0.003,0.001
11,0.001,0.048,0.081,0.021,0.007,0.009,0.005,0.0,0.002,0.0
12,-0.002,0.146,-0.064,-0.008,-0.009,-0.008,-0.002,-0.0,0.002,-0.0
