,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,0.001,-0.004,-0.018,0.013,-0.003,0.013,-0.003,0.002,0.006,0.0
2,-0.001,-0.007,-0.035,-0.007,-0.023,0.005,-0.001,-0.002,0.002,0.0
3,-0.001,-0.003,-0.022,0.029,-0.013,-0.004,-0.001,-0.002,-0.004,-0.0
4,-0.0,0.0,-0.137,-0.025,-0.038,-0.022,-0.0,-0.001,-0.003,-0.0
5,0.0,0.0,-0.045,-0.012,-0.006,-0.007,-0.0,0.0,0.0,0.0
6,-0.001,0.003,-0.147,-0.005,-0.035,-0.025,-0.001,-0.001,-0.002,0.0
7,-0.001,0.003,0.062,-0.016,0.027,0.004,0.002,0.001,-0.001,0.0
8,0.001,0.002,0.458,-0.002,0.125,0.05,0.002,0.002,0.001,-0.0
9,0.0,0.004,0.031,-0.025,0.006,0.002,0.002,0.001,0.001,-0.0
10,0.001,0.004,0.021,0.015,0.009,0.013,0.004,0.001,0.003,0.0
11,-0.001,0.002,-0.084,0.005,-0.016,-0.013,-0.0,-0.001,-0.001,-0.0
12,0.001,-0.005,-0.085,0.03,-0.032,-0.016,-0.003,-0.001,-0.0,-0.0
