,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.017,-0.029,-0.137,-0.01,-0.029,-0.04,-0.011,-0.003,-0.01,-0.001
2,-0.017,-0.063,-0.116,-0.011,-0.022,-0.031,-0.01,-0.002,-0.007,0.001
3,-0.013,-0.051,-0.128,-0.01,-0.015,-0.031,-0.011,-0.003,-0.01,-0.001
4,0.001,-0.128,-0.173,-0.008,-0.005,-0.021,-0.003,0.001,-0.002,0.001
5,0.032,-0.045,0.012,0.001,0.011,0.04,0.01,0.001,0.005,0.0
6,0.03,-0.002,-0.008,0.012,0.004,0.023,0.01,0.0,0.006,-0.0
7,-0.003,0.041,0.08,0.009,0.004,0.003,0.003,0.001,0.004,-0.0
8,-0.0,0.083,0.355,0.011,0.029,0.04,0.003,0.004,0.007,-0.0
9,0.004,0.041,0.148,0.009,0.016,0.029,0.007,0.003,0.006,0.0
10,0.003,0.03,0.139,0.011,0.036,0.035,0.016,0.004,0.013,0.001
11,-0.002,0.049,-0.046,-0.003,-0.002,-0.008,-0.005,-0.001,-0.003,-0.0
12,-0.019,0.074,-0.128,-0.012,-0.026,-0.04,-0.01,-0.003,-0.009,-0.001
