,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,0.001,-0.001,-0.038,-0.004,-0.017,-0.014,-0.001,-0.001,-0.003,-0.0
2,0.001,0.002,-0.059,0.002,-0.029,-0.007,-0.001,-0.0,-0.001,-0.0
3,0.005,0.005,0.066,0.008,0.049,0.017,0.002,0.001,0.002,-0.0
4,0.001,-0.002,-0.078,-0.003,-0.037,-0.012,-0.0,-0.001,-0.0,0.0
5,0.001,-0.001,-0.081,0.001,-0.036,-0.001,0.001,0.0,0.001,-0.0
6,-0.001,-0.001,-0.135,0.001,-0.06,-0.008,-0.001,-0.0,-0.001,-0.0
7,-0.003,-0.002,0.024,-0.004,-0.015,-0.004,-0.001,-0.0,0.0,-0.0
8,-0.003,-0.002,0.421,-0.002,0.128,0.013,-0.001,0.0,-0.001,-0.0
9,-0.002,-0.001,-0.061,-0.005,-0.051,0.002,-0.001,-0.0,-0.001,0.0
10,0.002,0.0,-0.065,0.004,-0.018,0.005,0.0,0.001,0.001,0.0
11,0.002,0.003,0.008,0.005,0.025,0.02,0.003,0.001,0.004,0.001
12,-0.003,-0.001,-0.003,-0.003,0.061,-0.009,-0.001,-0.0,-0.002,0.0
