,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,580316.0,128737.0,887.0,552.0,1885.0,346.0,460.0,443.0,1428.0,1451.0,749.0,7903.0,6966.0,53155.0,18385.0,578.0,278.0,377.0,311.0,389.0,673.0,620.0,2324.0,9893.0,784.0,626.0,2639.0,17597.0,5550.0,816.0,463.0,82.0,120.0,1469.0,1794.0,565.0,517.0,4291.0,990.0,160.0,6853.0,558.0,701.0,777.0,2981.0,176.0,361.0,990.0,262276.0,128737.0,4573.0,90426.0,1906.0,13932.0,27691.0,4030.0,5958.0,12407.0,990.0,2023,12,1725251,参考第2表(12月),北海道,139.1540,38.7151
1,2023-11-01,408721.0,122047.0,1457.0,682.0,2827.0,688.0,837.0,1904.0,1986.0,1640.0,1232.0,9537.0,8833.0,51351.0,14969.0,1007.0,411.0,676.0,327.0,612.0,1270.0,1438.0,2583.0,10917.0,976.0,1129.0,3909.0,16431.0,4705.0,968.0,509.0,112.0,217.0,889.0,2301.0,447.0,308.0,612.0,915.0,237.0,5083.0,346.0,543.0,913.0,455.0,293.0,498.0,736.0,103654.0,122047.0,8395.0,90160.0,3364.0,16241.0,27651.0,3966.0,2072.0,8131.0,736.0,2023,11,810002999,参考第2表(11月),北海道,139.3227,38.7370
2,2023-10-01,558183.0,145589.0,2490.0,739.0,3382.0,858.0,947.0,1785.0,3086.0,2138.0,1336.0,12074.0,10684.0,76446.0,25958.0,1361.0,774.0,1182.0,568.0,1054.0,2064.0,2289.0,5911.0,16071.0,2099.0,3141.0,5300.0,27674.0,8485.0,1843.0,1157.0,944.0,298.0,2135.0,5004.0,605.0,337.0,1392.0,1852.0,369.0,8735.0,368.0,978.0,1736.0,704.0,618.0,1868.0,996.0,123255.0,145589.0,10201.0,132776.0,5381.0,26938.0,47600.0,8986.0,3950.0,15007.0,996.0,2023,10,810003002,参考第2表(10月),北海道,138.9339,38.1785
3,2023-09-01,546628.0,147419.0,1982.0,884.0,4593.0,1316.0,1138.0,1436.0,3577.0,2523.0,1889.0,15487.0,15926.0,86709.0,26805.0,2854.0,1171.0,1557.0,788.0,1019.0,2200.0,2589.0,4999.0,18886.0,2853.0,7128.0,3899.0,27815.0,10397.0,1853.0,1822.0,406.0,244.0,2917.0,3047.0,654.0,697.0,1139.0,1968.0,716.0,7907.0,488.0,772.0,1407.0,772.0,446.0,1404.0,1077.0,88818.0,147419.0,11349.0,153935.0,7782.0,30115.0,52914.0,7268.0,4520.0,13196.0,1077.0,2023,9,810003005,参考第2表(9月),北海道,138.9805,38.0393
4,2023-08-01,677551.0,146934.0,2910.0,1629.0,5787.0,1972.0,1804.0,2674.0,5860.0,3873.0,3420.0,21002.0,18506.0,109773.0,34219.0,2836.0,1357.0,1767.0,1444.0,2059.0,2702.0,3730.0,7784.0,25557.0,3487.0,2823.0,6912.0,28393.0,12443.0,2735.0,1250.0,724.0,1177.0,2992.0,5190.0,1189.0,1343.0,2132.0,1896.0,1007.0,10080.0,885.0,858.0,1790.0,894.0,667.0,2060.0,1524.0,136666.0,146934.0,16776.0,198712.0,8662.0,42002.0,54556.0,11272.0,6378.0,17234.0,1524.0,2023,8,810003007,参考第2表(8月),北海道,138.8472,37.6684
5,2023-07-01,627367.0,135774.0,3268.0,1422.0,5601.0,1374.0,1406.0,2270.0,4122.0,3345.0,2023.0,14455.0,14040.0,84954.0,24926.0,3170.0,1088.0,1931.0,937.0,1359.0,3771.0,2455.0,5244.0,18616.0,2302.0,2393.0,7147.0,36133.0,10280.0,2428.0,1370.0,562.0,703.0,2396.0,3593.0,1133.0,829.0,1489.0,1086.0,682.0,10633.0,540.0,1149.0,1898.0,1155.0,781.0,2719.0,1864.0,163804.0,135774.0,15341.0,149224.0,9960.0,29554.0,59751.0,8387.0,4086.0,18875.0,1864.0,2023,7,810003009,参考第2表(7月),北海道,138.7174,37.7959
6,2023-06-01,500829.0,122930.0,2141.0,818.0,4893.0,940.0,874.0,1830.0,3162.0,2106.0,1746.0,11712.0,12190.0,77727.0,20812.0,1884.0,1411.0,3457.0,656.0,891.0,2474.0,2241.0,5138.0,16897.0,2278.0,1546.0,6291.0,31623.0,8335.0,1941.0,883.0,885.0,626.0,4506.0,4476.0,733.0,953.0,1892.0,2139.0,733.0,7201.0,504.0,1781.0,1235.0,1234.0,813.0,2889.0,1258.0,102047.0,122930.0,11496.0,130346.0,9226.0,27210.0,50619.0,11226.0,5717.0,15657.0,1258.0,2023,6,810003011,参考第2表(6月),北海道,138.6783,37.8040
7,2023-05-01,415627.0,128839.0,1300.0,729.0,3490.0,695.0,772.0,1224.0,2379.0,1179.0,1160.0,9238.0,8469.0,58037.0,17070.0,1093.0,999.0,1606.0,387.0,617.0,1492.0,1417.0,3232.0,12067.0,1352.0,1293.0,2560.0,20407.0,5630.0,1235.0,634.0,314.0,472.0,1785.0,3321.0,911.0,802.0,762.0,1154.0,313.0,6101.0,275.0,622.0,740.0,428.0,417.0,2872.0,852.0,72737.0,128839.0,8210.0,98149.0,5190.0,18455.0,31759.0,6803.0,3031.0,11455.0,852.0,2023,5,810003013,参考第2表(5月),北海道,139.1057,38.5317
8,2023-04-01,313256.0,110949.0,1004.0,535.0,2243.0,543.0,998.0,909.0,1811.0,878.0,1014.0,7350.0,6947.0,43676.0,12276.0,758.0,504.0,690.0,212.0,357.0,964.0,1053.0,2217.0,8022.0,833.0,716.0,2003.0,10910.0,3884.0,926.0,547.0,200.0,89.0,1250.0,1886.0,374.0,242.0,324.0,292.0,180.0,3445.0,232.0,542.0,660.0,386.0,205.0,386.0,650.0,55659.0,110949.0,6232.0,74309.0,2916.0,12337.0,18986.0,3799.0,1038.0,5856.0,650.0,2023,4,1616669,参考第2表(4月),北海道,139.5126,39.0222
9,2023-03-01,488525.0,148854.0,1492.0,1061.0,4050.0,890.0,938.0,777.0,2506.0,1943.0,1386.0,11198.0,11882.0,71390.0,20625.0,1069.0,504.0,1460.0,371.0,734.0,2033.0,1981.0,4231.0,15247.0,1752.0,1699.0,5561.0,23470.0,8141.0,2067.0,1061.0,203.0,116.0,1245.0,4125.0,573.0,564.0,618.0,852.0,384.0,7417.0,500.0,517.0,1828.0,529.0,1248.0,666.0,1623.0,102724.0,148854.0,9208.0,121664.0,5066.0,23582.0,41999.0,6262.0,2418.0,12705.0,1623.0,2023,3,1611685,参考第2表(3月),北海道,139.0979,38.4257
