,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,28258.0,220.0,216.0,301.0,2683.0,387.0,4969.0,695.0,251.0,152.0,76.0,615.0,528.0,2606.0,980.0,1055.0,21.0,35.0,7.0,43.0,51.0,21.0,141.0,212.0,23.0,14.0,105.0,299.0,83.0,19.0,9.0,3.0,0.0,6.0,34.0,16.0,7.0,3.0,4.0,3.0,28.0,2.0,52.0,16.0,6.0,0.0,5.0,26.0,5360.0,220.0,9251.0,5251.0,1162.0,404.0,529.0,59.0,17.0,109.0,26.0,2023,12,1725251,参考第2表(12月),山形県,139.8216,37.3196
1,2023-11-01,40663.0,302.0,264.0,492.0,2877.0,728.0,7349.0,1079.0,510.0,221.0,239.0,1259.0,924.0,3700.0,1411.0,1275.0,31.0,98.0,21.0,152.0,172.0,153.0,212.0,704.0,93.0,49.0,166.0,606.0,279.0,34.0,43.0,13.0,2.0,74.0,101.0,38.0,17.0,12.0,42.0,8.0,255.0,14.0,45.0,83.0,46.0,14.0,41.0,57.0,2753.0,302.0,12789.0,8416.0,1576.0,1183.0,1177.0,228.0,79.0,498.0,57.0,2023,11,810002999,参考第2表(11月),山形県,139.4536,37.0766
2,2023-10-01,39840.0,550.0,397.0,576.0,2906.0,809.0,5322.0,2892.0,387.0,412.0,208.0,1458.0,1196.0,4983.0,1845.0,1237.0,94.0,89.0,36.0,129.0,216.0,73.0,250.0,644.0,97.0,44.0,106.0,672.0,310.0,72.0,18.0,25.0,1508.0,37.0,78.0,25.0,23.0,20.0,9.0,6.0,201.0,7.0,57.0,63.0,36.0,22.0,21.0,33.0,3123.0,550.0,12902.0,10618.0,1636.0,1100.0,1222.0,1673.0,58.0,407.0,33.0,2023,10,810003002,参考第2表(10月),山形県,139.2312,36.9651
3,2023-09-01,19642.0,362.0,196.0,248.0,2112.0,336.0,3947.0,657.0,332.0,339.0,217.0,1083.0,807.0,3366.0,1410.0,400.0,42.0,41.0,23.0,101.0,103.0,112.0,234.0,357.0,22.0,32.0,122.0,496.0,149.0,48.0,4.0,10.0,7.0,110.0,39.0,3.0,41.0,13.0,21.0,10.0,26.0,1.0,10.0,6.0,10.0,13.0,3.0,24.0,556.0,362.0,7496.0,7655.0,586.0,748.0,851.0,169.0,85.0,69.0,24.0,2023,9,810003005,参考第2表(9月),山形県,139.6036,36.9344
4,2023-08-01,41827.0,473.0,519.0,618.0,3791.0,742.0,5433.0,1325.0,714.0,485.0,403.0,2096.0,1712.0,6516.0,2658.0,1064.0,91.0,209.0,25.0,71.0,221.0,134.0,366.0,785.0,54.0,56.0,225.0,1064.0,283.0,88.0,9.0,7.0,31.0,70.0,29.0,28.0,21.0,122.0,13.0,5.0,87.0,8.0,31.0,50.0,22.0,5.0,20.0,22.0,941.0,473.0,12428.0,14655.0,1585.0,1364.0,1725.0,165.0,161.0,223.0,22.0,2023,8,810003007,参考第2表(8月),山形県,139.5399,36.8479
5,2023-07-01,30719.0,325.0,404.0,314.0,2821.0,1026.0,4576.0,1133.0,420.0,362.0,327.0,1096.0,879.0,4233.0,1385.0,1078.0,46.0,108.0,8.0,107.0,184.0,106.0,297.0,413.0,18.0,38.0,157.0,536.0,159.0,29.0,49.0,7.0,40.0,14.0,59.0,22.0,10.0,7.0,7.0,3.0,56.0,10.0,8.0,34.0,4.0,5.0,9.0,43.0,879.0,325.0,10274.0,8809.0,1416.0,842.0,968.0,142.0,27.0,126.0,43.0,2023,7,810003009,参考第2表(7月),山形県,139.6338,37.0885
6,2023-06-01,35650.0,414.0,428.0,588.0,3270.0,1049.0,5383.0,1130.0,557.0,383.0,263.0,1301.0,1323.0,4880.0,1746.0,1249.0,78.0,90.0,40.0,72.0,134.0,97.0,213.0,582.0,78.0,46.0,166.0,627.0,182.0,43.0,19.0,7.0,4.0,29.0,23.0,8.0,68.0,35.0,29.0,11.0,136.0,5.0,19.0,48.0,9.0,8.0,21.0,23.0,1056.0,414.0,11848.0,10525.0,1551.0,1010.0,1083.0,71.0,143.0,246.0,23.0,2023,6,810003011,参考第2表(6月),山形県,139.6328,37.0729
7,2023-05-01,34610.0,439.0,305.0,452.0,3207.0,832.0,4620.0,1322.0,478.0,335.0,208.0,1288.0,1063.0,4048.0,1724.0,1410.0,69.0,77.0,16.0,167.0,110.0,152.0,241.0,511.0,79.0,64.0,160.0,528.0,295.0,65.0,12.0,5.0,8.0,31.0,280.0,29.0,22.0,22.0,10.0,9.0,211.0,7.0,8.0,58.0,51.0,17.0,7.0,38.0,843.0,439.0,10738.0,9311.0,1666.0,999.0,1124.0,353.0,63.0,359.0,38.0,2023,5,810003013,参考第2表(5月),山形県,139.4668,37.0127
8,2023-04-01,28191.0,457.0,145.0,330.0,2331.0,537.0,5918.0,816.0,462.0,337.0,165.0,977.0,893.0,3645.0,1365.0,953.0,25.0,65.0,62.0,49.0,64.0,45.0,212.0,331.0,33.0,30.0,132.0,410.0,267.0,30.0,18.0,11.0,10.0,18.0,46.0,51.0,8.0,11.0,37.0,8.0,101.0,9.0,15.0,31.0,9.0,10.0,11.0,87.0,2281.0,457.0,10077.0,7893.0,1107.0,683.0,887.0,136.0,64.0,186.0,87.0,2023,4,1616669,参考第2表(4月),山形県,139.6156,37.0968
9,2023-03-01,24525.0,244.0,165.0,303.0,2979.0,620.0,3615.0,883.0,512.0,266.0,176.0,1061.0,664.0,2098.0,940.0,654.0,20.0,109.0,20.0,21.0,98.0,95.0,243.0,274.0,69.0,88.0,218.0,281.0,110.0,44.0,13.0,2.0,3.0,20.0,36.0,18.0,0.0,5.0,10.0,3.0,136.0,4.0,3.0,15.0,3.0,5.0,10.0,50.0,556.0,244.0,8565.0,5738.0,881.0,701.0,754.0,79.0,18.0,176.0,50.0,2023,3,1611685,参考第2表(3月),山形県,139.6530,37.1574
