,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,21314.0,421.0,84.0,17.0,221.0,5.0,29.0,17.0,114.0,32.0,46.0,412.0,411.0,2545.0,908.0,168.0,45.0,154.0,39.0,37.0,157.0,134.0,620.0,652.0,166.0,236.0,454.0,1616.0,1406.0,209.0,48.0,218.0,197.0,3094.0,757.0,193.0,263.0,303.0,355.0,176.0,399.0,38.0,50.0,50.0,63.0,40.0,24.0,136.0,3555.0,421.0,373.0,4505.0,524.0,1611.0,3969.0,4459.0,1097.0,664.0,136.0,2023,12,1725251,参考第2表(12月),岡山県,136.1666,35.1784
1,2023-11-01,28762.0,1039.0,56.0,51.0,494.0,16.0,76.0,50.0,104.0,56.0,105.0,652.0,532.0,4831.0,1288.0,60.0,80.0,119.0,77.0,118.0,230.0,160.0,435.0,1187.0,204.0,223.0,535.0,1949.0,1308.0,249.0,146.0,282.0,257.0,2372.0,909.0,291.0,161.0,290.0,378.0,190.0,860.0,70.0,68.0,135.0,117.0,82.0,103.0,251.0,5049.0,1039.0,743.0,7686.0,489.0,2063.0,4410.0,4111.0,1019.0,1435.0,251.0,2023,11,810002999,参考第2表(11月),岡山県,136.5999,35.3901
2,2023-10-01,22405.0,601.0,26.0,185.0,302.0,31.0,42.0,44.0,235.0,88.0,60.0,427.0,424.0,3038.0,946.0,56.0,61.0,83.0,128.0,59.0,125.0,139.0,352.0,803.0,143.0,250.0,510.0,1888.0,948.0,254.0,87.0,174.0,214.0,1876.0,700.0,191.0,111.0,209.0,272.0,126.0,679.0,68.0,71.0,141.0,65.0,59.0,48.0,143.0,4903.0,601.0,630.0,5277.0,325.0,1565.0,3937.0,3155.0,718.0,1131.0,143.0,2023,10,810003002,参考第2表(10月),岡山県,136.4638,35.3336
3,2023-09-01,20748.0,314.0,30.0,24.0,102.0,12.0,67.0,42.0,105.0,49.0,94.0,477.0,471.0,3237.0,897.0,112.0,58.0,64.0,54.0,32.0,139.0,88.0,258.0,1159.0,154.0,159.0,552.0,2095.0,1247.0,177.0,71.0,222.0,198.0,2187.0,783.0,234.0,119.0,236.0,269.0,175.0,602.0,43.0,57.0,118.0,65.0,34.0,50.0,51.0,2861.0,314.0,277.0,5362.0,373.0,1713.0,4301.0,3624.0,799.0,969.0,51.0,2023,9,810003005,参考第2表(9月),岡山県,136.3138,35.1651
4,2023-08-01,23123.0,221.0,24.0,41.0,92.0,19.0,21.0,36.0,114.0,77.0,88.0,567.0,524.0,3399.0,1333.0,58.0,63.0,70.0,67.0,51.0,155.0,193.0,446.0,1052.0,183.0,281.0,644.0,2527.0,1667.0,291.0,128.0,261.0,306.0,2411.0,1094.0,308.0,168.0,315.0,424.0,266.0,539.0,60.0,59.0,115.0,77.0,34.0,62.0,57.0,1969.0,221.0,233.0,6153.0,346.0,1941.0,5538.0,4380.0,1173.0,946.0,57.0,2023,8,810003007,参考第2表(8月),岡山県,136.2065,35.0664
5,2023-07-01,24442.0,180.0,55.0,18.0,90.0,14.0,29.0,60.0,143.0,64.0,63.0,457.0,542.0,3345.0,1107.0,84.0,56.0,68.0,73.0,72.0,129.0,155.0,290.0,687.0,138.0,198.0,729.0,1807.0,1371.0,181.0,68.0,245.0,364.0,1791.0,855.0,310.0,139.0,250.0,397.0,202.0,635.0,57.0,125.0,223.0,87.0,51.0,94.0,169.0,5726.0,180.0,266.0,5793.0,337.0,1343.0,4354.0,3565.0,988.0,1272.0,169.0,2023,7,810003009,参考第2表(7月),岡山県,136.1339,35.0119
6,2023-06-01,25616.0,502.0,88.0,37.0,958.0,20.0,40.0,29.0,129.0,71.0,80.0,559.0,491.0,2923.0,1040.0,70.0,56.0,111.0,218.0,34.0,82.0,94.0,554.0,1041.0,166.0,180.0,822.0,2200.0,1096.0,426.0,118.0,177.0,333.0,2073.0,876.0,214.0,155.0,283.0,336.0,231.0,765.0,79.0,67.0,313.0,56.0,44.0,78.0,62.0,4663.0,502.0,1172.0,5327.0,319.0,2073.0,4842.0,3673.0,1005.0,1402.0,62.0,2023,6,810003011,参考第2表(6月),岡山県,136.3720,35.3098
7,2023-05-01,27664.0,593.0,110.0,34.0,508.0,73.0,30.0,75.0,126.0,82.0,131.0,645.0,681.0,4009.0,1264.0,67.0,182.0,109.0,121.0,41.0,132.0,179.0,374.0,1531.0,386.0,209.0,691.0,2171.0,1162.0,741.0,139.0,207.0,300.0,2079.0,941.0,273.0,111.0,229.0,320.0,151.0,920.0,53.0,75.0,282.0,80.0,86.0,206.0,67.0,4318.0,593.0,830.0,6979.0,490.0,2591.0,5113.0,3800.0,811.0,1702.0,67.0,2023,5,810003013,参考第2表(5月),岡山県,136.4804,35.2883
8,2023-04-01,23665.0,532.0,49.0,17.0,314.0,20.0,38.0,48.0,99.0,66.0,30.0,388.0,459.0,3167.0,923.0,26.0,49.0,52.0,75.0,27.0,95.0,109.0,226.0,667.0,234.0,314.0,536.0,1584.0,1028.0,169.0,112.0,208.0,224.0,2306.0,604.0,267.0,105.0,163.0,345.0,126.0,623.0,51.0,78.0,126.0,102.0,56.0,89.0,101.0,6367.0,532.0,486.0,5159.0,222.0,1311.0,3743.0,3609.0,739.0,1125.0,101.0,2023,4,1616669,参考第2表(4月),岡山県,136.3168,35.2508
9,2023-03-01,29801.0,328.0,34.0,46.0,127.0,34.0,31.0,36.0,108.0,216.0,71.0,597.0,476.0,4122.0,1316.0,80.0,48.0,123.0,80.0,34.0,154.0,159.0,470.0,1043.0,230.0,257.0,1069.0,2224.0,1337.0,253.0,90.0,248.0,242.0,2311.0,778.0,264.0,145.0,297.0,299.0,170.0,677.0,84.0,121.0,122.0,105.0,34.0,72.0,188.0,4008.0,328.0,308.0,6940.0,405.0,1982.0,5230.0,3843.0,911.0,1215.0,188.0,2023,3,1611685,参考第2表(3月),岡山県,136.3894,35.1166
