,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,130373.0,416.0,113.0,145.0,1065.0,324.0,544.0,736.0,1186.0,665.0,1665.0,6823.0,4976.0,32926.0,7654.0,28168.0,966.0,640.0,275.0,204.0,1655.0,162.0,609.0,1299.0,103.0,197.0,354.0,1988.0,918.0,138.0,50.0,14.0,13.0,72.0,110.0,67.0,37.0,84.0,42.0,29.0,320.0,40.0,53.0,102.0,23.0,20.0,38.0,186.0,18886.0,416.0,2927.0,56099.0,31429.0,2448.0,3645.0,276.0,192.0,596.0,186.0,2023,12,1725251,参考第2表(12月),新潟県,139.1408,36.3973
1,2023-11-01,96846.0,688.0,102.0,185.0,2132.0,490.0,852.0,1258.0,1410.0,980.0,2184.0,6610.0,3884.0,20225.0,5852.0,24445.0,1363.0,879.0,400.0,630.0,2000.0,539.0,857.0,2186.0,200.0,192.0,484.0,2938.0,1051.0,181.0,57.0,20.0,22.0,380.0,261.0,41.0,55.0,112.0,193.0,84.0,585.0,21.0,170.0,111.0,42.0,151.0,122.0,95.0,5812.0,688.0,5019.0,41775.0,28687.0,4182.0,4903.0,724.0,444.0,1202.0,95.0,2023,11,810002999,参考第2表(11月),新潟県,138.8744,36.4537
2,2023-10-01,103765.0,741.0,124.0,178.0,1462.0,358.0,880.0,1256.0,1306.0,1077.0,1858.0,6679.0,4059.0,20431.0,6200.0,24261.0,1140.0,959.0,474.0,462.0,2342.0,396.0,740.0,2520.0,303.0,203.0,768.0,2717.0,1205.0,216.0,137.0,43.0,33.0,217.0,311.0,62.0,73.0,144.0,113.0,53.0,880.0,153.0,79.0,100.0,44.0,63.0,77.0,308.0,5681.0,741.0,4258.0,42072.0,28702.0,4433.0,5246.0,666.0,383.0,1396.0,308.0,2023,10,810003002,参考第2表(10月),新潟県,138.8016,36.3976
3,2023-09-01,89961.0,647.0,121.0,145.0,1258.0,374.0,800.0,1351.0,1303.0,1135.0,2165.0,6643.0,4138.0,19994.0,6235.0,21732.0,1088.0,784.0,371.0,357.0,1913.0,421.0,749.0,2095.0,170.0,329.0,842.0,2513.0,1113.0,412.0,83.0,43.0,22.0,196.0,243.0,81.0,45.0,66.0,83.0,46.0,491.0,37.0,72.0,129.0,42.0,65.0,56.0,107.0,4760.0,647.0,4049.0,41970.0,25517.0,3806.0,5292.0,585.0,240.0,892.0,107.0,2023,9,810003005,参考第2表(9月),新潟県,138.9082,36.3974
4,2023-08-01,184888.0,607.0,147.0,182.0,2689.0,476.0,1208.0,1919.0,2165.0,2285.0,5538.0,17132.0,8333.0,44472.0,12674.0,30324.0,1713.0,1344.0,433.0,693.0,3019.0,529.0,1340.0,3011.0,408.0,232.0,883.0,3407.0,1265.0,267.0,65.0,46.0,26.0,241.0,323.0,51.0,55.0,91.0,115.0,40.0,401.0,54.0,29.0,130.0,50.0,54.0,65.0,81.0,2566.0,607.0,6621.0,93292.0,36400.0,5721.0,6119.0,687.0,301.0,783.0,81.0,2023,8,810003007,参考第2表(8月),新潟県,139.1495,36.2768
5,2023-07-01,117917.0,563.0,168.0,208.0,1240.0,344.0,1084.0,1529.0,1267.0,1359.0,3318.0,9263.0,4389.0,32893.0,6528.0,25802.0,1327.0,969.0,392.0,476.0,2485.0,260.0,919.0,2077.0,209.0,196.0,508.0,2114.0,994.0,220.0,47.0,34.0,17.0,133.0,529.0,90.0,28.0,42.0,91.0,44.0,424.0,40.0,101.0,71.0,38.0,49.0,65.0,99.0,3827.0,563.0,4573.0,59493.0,30583.0,3857.0,4079.0,803.0,205.0,788.0,99.0,2023,7,810003009,参考第2表(7月),新潟県,139.0661,36.3746
6,2023-06-01,73970.0,606.0,133.0,174.0,1134.0,255.0,571.0,1028.0,901.0,927.0,2263.0,5143.0,3126.0,14781.0,4923.0,21108.0,708.0,560.0,329.0,290.0,1564.0,187.0,672.0,1630.0,181.0,157.0,448.0,2812.0,1015.0,160.0,68.0,37.0,71.0,96.0,189.0,44.0,37.0,54.0,66.0,28.0,336.0,50.0,157.0,96.0,31.0,78.0,51.0,67.0,3512.0,606.0,3295.0,32354.0,23940.0,2999.0,4660.0,437.0,185.0,799.0,67.0,2023,6,810003011,参考第2表(6月),新潟県,138.8779,36.4936
7,2023-05-01,93211.0,756.0,114.0,193.0,1411.0,510.0,956.0,1453.0,1141.0,1099.0,2225.0,6295.0,4248.0,19341.0,6888.0,22015.0,1025.0,809.0,335.0,505.0,1890.0,489.0,865.0,2227.0,239.0,206.0,587.0,3261.0,1048.0,254.0,85.0,23.0,66.0,260.0,210.0,64.0,32.0,47.0,44.0,26.0,462.0,43.0,90.0,102.0,27.0,33.0,41.0,140.0,4999.0,756.0,4637.0,41742.0,25739.0,4155.0,5441.0,623.0,149.0,798.0,140.0,2023,5,810003013,参考第2表(5月),新潟県,138.9115,36.4165
8,2023-04-01,70037.0,387.0,89.0,174.0,896.0,380.0,616.0,860.0,848.0,718.0,2038.0,4984.0,2784.0,16177.0,4569.0,19392.0,728.0,543.0,303.0,249.0,1268.0,133.0,366.0,1530.0,102.0,161.0,474.0,1341.0,669.0,79.0,38.0,10.0,15.0,317.0,109.0,35.0,14.0,22.0,36.0,27.0,340.0,17.0,35.0,87.0,30.0,56.0,65.0,198.0,4873.0,387.0,3015.0,32367.0,21931.0,2434.0,2762.0,486.0,99.0,630.0,198.0,2023,4,1616669,参考第2表(4月),新潟県,138.9797,36.4791
9,2023-03-01,128905.0,814.0,114.0,239.0,1083.0,549.0,1015.0,1036.0,1352.0,974.0,2167.0,9019.0,6646.0,23881.0,9564.0,28199.0,899.0,807.0,342.0,465.0,1907.0,346.0,856.0,1491.0,245.0,242.0,706.0,1945.0,930.0,282.0,85.0,21.0,52.0,78.0,153.0,33.0,14.0,72.0,47.0,46.0,377.0,51.0,40.0,86.0,23.0,29.0,69.0,130.0,4960.0,814.0,4036.0,54068.0,31812.0,3280.0,4190.0,337.0,179.0,675.0,130.0,2023,3,1611685,参考第2表(3月),新潟県,139.1085,36.4523
