,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,7412.0,243.0,345.0,214.0,513.0,2532.0,173.0,181.0,25.0,13.0,6.0,212.0,186.0,687.0,433.0,48.0,0.0,34.0,6.0,37.0,37.0,1.0,109.0,211.0,0.0,0.0,76.0,272.0,45.0,32.0,0.0,32.0,0.0,33.0,39.0,0.0,0.0,0.0,0.0,0.0,105.0,38.0,32.0,25.0,0.0,0.0,5.0,0.0,428.0,243.0,3958.0,1599.0,119.0,327.0,425.0,104.0,0.0,205.0,0.0,2023,12,1725251,参考第2表(12月),秋田県,139.3205,37.9399
1,2023-11-01,10331.0,287.0,372.0,323.0,674.0,2504.0,184.0,96.0,106.0,80.0,49.0,267.0,279.0,1789.0,599.0,61.0,5.0,45.0,4.0,7.0,58.0,6.0,25.0,267.0,6.0,11.0,81.0,233.0,47.0,7.0,3.0,4.0,1.0,47.0,43.0,40.0,52.0,40.0,110.0,43.0,77.0,0.0,1.0,21.0,3.0,50.0,10.0,15.0,1299.0,287.0,4153.0,3176.0,169.0,308.0,382.0,135.0,245.0,162.0,15.0,2023,11,810002999,参考第2表(11月),秋田県,139.2836,37.5040
2,2023-10-01,11786.0,225.0,490.0,242.0,716.0,1451.0,118.0,120.0,34.0,88.0,60.0,263.0,307.0,1970.0,500.0,290.0,46.0,53.0,29.0,39.0,94.0,69.0,164.0,357.0,48.0,85.0,104.0,511.0,328.0,88.0,80.0,3.0,39.0,49.0,123.0,42.0,81.0,2.0,41.0,1.0,140.0,42.0,44.0,40.0,80.0,1.0,118.0,57.0,1910.0,225.0,3137.0,3261.0,483.0,667.0,1196.0,256.0,125.0,465.0,57.0,2023,10,810003002,参考第2表(10月),秋田県,138.4278,36.7393
3,2023-09-01,19657.0,458.0,540.0,675.0,1375.0,3038.0,349.0,511.0,132.0,101.0,80.0,822.0,733.0,4493.0,1329.0,193.0,61.0,50.0,11.0,39.0,139.0,34.0,186.0,561.0,42.0,60.0,217.0,527.0,353.0,93.0,55.0,2.0,41.0,48.0,126.0,20.0,15.0,13.0,8.0,48.0,329.0,53.0,133.0,101.0,10.0,49.0,147.0,18.0,1239.0,458.0,6488.0,7729.0,443.0,834.0,1305.0,237.0,84.0,822.0,18.0,2023,9,810003005,参考第2表(9月),秋田県,138.9863,36.9187
4,2023-08-01,23403.0,531.0,616.0,518.0,1893.0,3968.0,319.0,451.0,323.0,288.0,90.0,1150.0,920.0,4853.0,1632.0,234.0,68.0,79.0,31.0,61.0,215.0,156.0,243.0,1044.0,77.0,98.0,286.0,930.0,372.0,94.0,53.0,5.0,7.0,34.0,99.0,88.0,20.0,130.0,36.0,50.0,244.0,58.0,73.0,15.0,51.0,12.0,13.0,14.0,854.0,531.0,7765.0,9317.0,596.0,1551.0,1833.0,233.0,236.0,466.0,14.0,2023,8,810003007,参考第2表(8月),秋田県,139.0756,36.9489
5,2023-07-01,18015.0,437.0,798.0,547.0,1880.0,4515.0,528.0,494.0,130.0,140.0,150.0,763.0,626.0,2614.0,1068.0,206.0,16.0,27.0,21.0,47.0,64.0,33.0,122.0,449.0,46.0,88.0,180.0,596.0,132.0,22.0,45.0,5.0,20.0,24.0,84.0,16.0,13.0,18.0,7.0,9.0,116.0,2.0,5.0,151.0,6.0,8.0,13.0,26.0,708.0,437.0,8762.0,5538.0,313.0,671.0,1063.0,149.0,47.0,301.0,26.0,2023,7,810003009,参考第2表(7月),秋田県,139.4500,37.5941
6,2023-06-01,19066.0,1569.0,652.0,654.0,1911.0,3706.0,315.0,451.0,189.0,178.0,74.0,793.0,806.0,3001.0,982.0,140.0,13.0,46.0,7.0,25.0,130.0,23.0,120.0,647.0,37.0,34.0,166.0,479.0,225.0,31.0,8.0,3.0,5.0,76.0,123.0,6.0,63.0,8.0,10.0,14.0,179.0,9.0,16.0,15.0,5.0,8.0,49.0,5.0,1058.0,1569.0,7689.0,6048.0,329.0,834.0,943.0,213.0,95.0,281.0,5.0,2023,6,810003011,参考第2表(6月),秋田県,139.5235,37.7589
7,2023-05-01,12211.0,2563.0,343.0,238.0,432.0,1311.0,77.0,107.0,104.0,36.0,12.0,289.0,225.0,950.0,260.0,44.0,10.0,3.0,15.0,21.0,16.0,6.0,27.0,307.0,13.0,5.0,110.0,415.0,160.0,22.0,45.0,45.0,2.0,3.0,84.0,2.0,1.0,67.0,3.0,45.0,155.0,10.0,3.0,42.0,1.0,40.0,129.0,2.0,549.0,2563.0,2508.0,1897.0,73.0,368.0,757.0,136.0,116.0,380.0,2.0,2023,5,810003013,参考第2表(5月),秋田県,139.2418,38.6675
8,2023-04-01,8605.0,535.0,255.0,282.0,810.0,1625.0,203.0,130.0,108.0,100.0,65.0,249.0,176.0,1424.0,402.0,100.0,39.0,41.0,41.0,38.0,17.0,83.0,66.0,173.0,46.0,51.0,104.0,305.0,142.0,48.0,37.0,2.0,0.0,38.0,21.0,37.0,4.0,10.0,40.0,10.0,137.0,4.0,41.0,49.0,4.0,38.0,2.0,39.0,431.0,535.0,3305.0,2562.0,197.0,409.0,687.0,98.0,64.0,275.0,39.0,2023,4,1616669,参考第2表(4月),秋田県,139.0314,37.4134
9,2023-03-01,5727.0,69.0,297.0,238.0,417.0,1489.0,67.0,72.0,52.0,29.0,16.0,107.0,106.0,1655.0,255.0,40.0,2.0,6.0,3.0,2.0,8.0,9.0,41.0,49.0,12.0,1.0,23.0,114.0,48.0,9.0,1.0,1.0,1.0,10.0,2.0,2.0,3.0,6.0,1.0,0.0,33.0,15.0,17.0,5.0,2.0,0.0,8.0,5.0,379.0,69.0,2580.0,2222.0,56.0,114.0,196.0,16.0,10.0,80.0,5.0,2023,3,1611685,参考第2表(3月),秋田県,139.6486,37.5524
