,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,109570.0,551.0,161.0,63.0,238.0,84.0,120.0,149.0,360.0,308.0,556.0,1275.0,1257.0,8835.0,2474.0,1055.0,69.0,191.0,94.0,89.0,409.0,1228.0,1187.0,2859.0,286.0,342.0,768.0,3341.0,1381.0,365.0,763.0,37.0,80.0,1002.0,1573.0,1285.0,106.0,181.0,213.0,75.0,16683.0,2642.0,7686.0,5024.0,1684.0,978.0,1477.0,748.0,8499.0,551.0,815.0,15154.0,1724.0,5654.0,6960.0,3977.0,575.0,36174.0,748.0,2023,12,1725251,参考第2表(12月),長崎県,133.8162,34.2358
1,2023-11-01,86021.0,1063.0,166.0,98.0,223.0,49.0,488.0,621.0,317.0,609.0,745.0,1667.0,1484.0,7380.0,2986.0,161.0,96.0,441.0,76.0,88.0,956.0,854.0,2150.0,6260.0,1315.0,383.0,1743.0,3253.0,1378.0,251.0,214.0,146.0,77.0,283.0,1083.0,1327.0,268.0,160.0,170.0,165.0,14534.0,2312.0,6324.0,3862.0,2097.0,1143.0,1207.0,428.0,7468.0,1063.0,1645.0,15276.0,1654.0,10655.0,7222.0,2916.0,763.0,31479.0,428.0,2023,11,810002999,参考第2表(11月),長崎県,134.4366,34.4960
2,2023-10-01,107262.0,1612.0,162.0,68.0,382.0,118.0,54.0,232.0,255.0,367.0,180.0,1514.0,1546.0,6306.0,2936.0,560.0,100.0,561.0,773.0,87.0,247.0,1522.0,380.0,4019.0,2952.0,344.0,637.0,3914.0,1437.0,246.0,190.0,41.0,81.0,434.0,1441.0,1556.0,176.0,109.0,229.0,66.0,16916.0,2351.0,6096.0,6631.0,1591.0,781.0,1059.0,470.0,7413.0,1612.0,1016.0,13191.0,1468.0,9646.0,6768.0,3553.0,580.0,35425.0,470.0,2023,10,810003002,参考第2表(10月),長崎県,133.9468,34.4125
3,2023-09-01,85442.0,764.0,70.0,57.0,218.0,33.0,137.0,259.0,1214.0,144.0,126.0,1069.0,996.0,6309.0,2227.0,349.0,84.0,407.0,91.0,91.0,312.0,348.0,275.0,1225.0,1170.0,426.0,581.0,2799.0,1211.0,250.0,259.0,43.0,181.0,772.0,807.0,1275.0,59.0,152.0,111.0,20.0,15838.0,2302.0,6702.0,4191.0,1347.0,824.0,1012.0,522.0,5260.0,764.0,774.0,12176.0,1152.0,3109.0,5526.0,3078.0,342.0,32216.0,522.0,2023,9,810003005,参考第2表(9月),長崎県,133.5786,34.2177
4,2023-08-01,110175.0,291.0,63.0,95.0,183.0,55.0,49.0,141.0,412.0,259.0,201.0,2011.0,1754.0,8951.0,3295.0,141.0,106.0,275.0,65.0,90.0,107.0,329.0,651.0,3044.0,483.0,471.0,1018.0,3510.0,1964.0,412.0,115.0,58.0,159.0,606.0,1592.0,1933.0,95.0,178.0,301.0,83.0,20334.0,2896.0,7209.0,5424.0,1837.0,805.0,1917.0,355.0,6559.0,291.0,586.0,16973.0,629.0,4572.0,7490.0,4348.0,657.0,40422.0,355.0,2023,8,810003007,参考第2表(8月),長崎県,133.6340,34.1593
5,2023-07-01,86498.0,345.0,89.0,64.0,225.0,70.0,39.0,106.0,236.0,231.0,151.0,1226.0,1238.0,6078.0,2215.0,131.0,120.0,121.0,46.0,81.0,137.0,288.0,324.0,1420.0,265.0,299.0,572.0,3313.0,1395.0,551.0,105.0,116.0,63.0,343.0,781.0,1346.0,84.0,103.0,222.0,44.0,16508.0,2740.0,6897.0,4183.0,1402.0,914.0,1359.0,306.0,8080.0,345.0,593.0,11456.0,509.0,2343.0,6235.0,2649.0,453.0,34003.0,306.0,2023,7,810003009,参考第2表(7月),長崎県,133.2936,34.0721
6,2023-06-01,75138.0,648.0,125.0,53.0,214.0,72.0,45.0,176.0,185.0,155.0,122.0,1055.0,846.0,6034.0,1537.0,131.0,123.0,503.0,66.0,32.0,151.0,198.0,233.0,1548.0,137.0,602.0,797.0,6574.0,2188.0,167.0,158.0,41.0,69.0,384.0,456.0,773.0,42.0,53.0,95.0,18.0,12363.0,2003.0,6106.0,2711.0,1078.0,411.0,558.0,286.0,6362.0,648.0,685.0,9966.0,908.0,2182.0,10486.0,1723.0,208.0,25230.0,286.0,2023,6,810003011,参考第2表(6月),長崎県,133.8500,34.3252
7,2023-05-01,110966.0,1263.0,195.0,96.0,464.0,152.0,157.0,185.0,498.0,376.0,389.0,2263.0,1909.0,12631.0,4169.0,322.0,206.0,299.0,208.0,88.0,290.0,654.0,933.0,3185.0,712.0,464.0,3125.0,8587.0,4730.0,394.0,470.0,59.0,267.0,3138.0,1940.0,1964.0,317.0,334.0,307.0,156.0,16620.0,2260.0,5880.0,3568.0,1925.0,970.0,3968.0,567.0,5220.0,1263.0,1249.0,22323.0,1117.0,5692.0,17770.0,7368.0,1114.0,35191.0,567.0,2023,5,810003013,参考第2表(5月),長崎県,134.5363,34.4771
8,2023-04-01,79317.0,1039.0,103.0,68.0,207.0,39.0,48.0,114.0,265.0,196.0,162.0,1371.0,1020.0,5725.0,1747.0,91.0,65.0,157.0,53.0,65.0,118.0,156.0,307.0,1109.0,234.0,2051.0,423.0,1542.0,3109.0,191.0,49.0,24.0,84.0,592.0,490.0,840.0,53.0,227.0,87.0,34.0,12260.0,1847.0,4767.0,2652.0,1099.0,433.0,625.0,177.0,6408.0,1039.0,579.0,10551.0,431.0,1859.0,7365.0,2030.0,401.0,23683.0,177.0,2023,4,1616669,参考第2表(4月),長崎県,133.9485,34.4235
9,2023-03-01,112340.0,1002.0,131.0,163.0,410.0,94.0,90.0,156.0,469.0,326.0,495.0,1774.0,1847.0,8441.0,3288.0,255.0,441.0,371.0,176.0,128.0,300.0,605.0,797.0,3442.0,407.0,471.0,2502.0,4719.0,2033.0,1298.0,236.0,169.0,138.0,778.0,1893.0,1440.0,117.0,183.0,246.0,72.0,16338.0,2216.0,6335.0,2644.0,1554.0,516.0,1052.0,510.0,5577.0,1002.0,1044.0,16768.0,1367.0,5427.0,11259.0,4418.0,618.0,30655.0,510.0,2023,3,1611685,参考第2表(3月),長崎県,134.3288,34.4879
