,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,68203.0,871.0,112.0,59.0,292.0,87.0,169.0,143.0,257.0,361.0,58.0,1097.0,1165.0,10232.0,2065.0,192.0,83.0,379.0,130.0,144.0,206.0,250.0,536.0,2079.0,240.0,236.0,565.0,4674.0,1431.0,355.0,240.0,17.0,148.0,644.0,1658.0,359.0,125.0,208.0,152.0,68.0,6587.0,599.0,629.0,2236.0,613.0,2909.0,13682.0,401.0,8459.0,871.0,862.0,15379.0,860.0,3235.0,7501.0,2826.0,553.0,27255.0,401.0,2023,12,1725251,参考第2表(12月),鹿児島県,134.3521,34.0251
1,2023-11-01,72378.0,1195.0,73.0,41.0,431.0,46.0,109.0,100.0,304.0,286.0,515.0,1439.0,1657.0,9039.0,2326.0,371.0,132.0,189.0,164.0,154.0,250.0,631.0,1335.0,2417.0,331.0,585.0,730.0,4703.0,2291.0,472.0,217.0,30.0,99.0,868.0,1405.0,655.0,165.0,140.0,223.0,115.0,7206.0,566.0,900.0,1702.0,572.0,3804.0,13445.0,344.0,7606.0,1195.0,800.0,15720.0,942.0,4878.0,8998.0,3057.0,643.0,28195.0,344.0,2023,11,810002999,参考第2表(11月),鹿児島県,134.4686,34.1174
2,2023-10-01,71678.0,1311.0,538.0,553.0,1252.0,201.0,266.0,431.0,1019.0,773.0,925.0,1534.0,1807.0,8673.0,2149.0,186.0,483.0,757.0,387.0,332.0,604.0,741.0,932.0,2791.0,814.0,762.0,840.0,4649.0,1867.0,456.0,413.0,263.0,176.0,870.0,1547.0,718.0,304.0,345.0,558.0,747.0,4567.0,1215.0,957.0,1606.0,898.0,1549.0,10784.0,598.0,4751.0,1311.0,3241.0,17212.0,2030.0,5665.0,8987.0,3574.0,1954.0,21576.0,598.0,2023,10,810003002,参考第2表(10月),鹿児島県,135.1955,34.5788
3,2023-09-01,65664.0,657.0,131.0,25.0,403.0,38.0,89.0,217.0,690.0,403.0,177.0,1258.0,1207.0,11908.0,1939.0,143.0,244.0,263.0,176.0,71.0,390.0,359.0,605.0,2564.0,294.0,433.0,795.0,5068.0,1542.0,302.0,205.0,54.0,128.0,575.0,979.0,410.0,58.0,363.0,203.0,117.0,5077.0,2247.0,604.0,1909.0,475.0,2031.0,10352.0,447.0,5733.0,657.0,903.0,17653.0,1040.0,3998.0,8345.0,2146.0,741.0,22695.0,447.0,2023,9,810003005,参考第2表(9月),鹿児島県,134.9009,34.2601
4,2023-08-01,79725.0,466.0,69.0,121.0,250.0,143.0,172.0,192.0,385.0,198.0,227.0,1753.0,1573.0,11625.0,2797.0,183.0,137.0,119.0,145.0,121.0,480.0,683.0,646.0,3072.0,259.0,539.0,669.0,5856.0,2008.0,470.0,159.0,61.0,138.0,440.0,1013.0,620.0,117.0,306.0,142.0,63.0,8779.0,1038.0,815.0,3904.0,978.0,3391.0,16722.0,559.0,5093.0,466.0,947.0,18679.0,919.0,4805.0,9701.0,2272.0,628.0,35627.0,559.0,2023,8,810003007,参考第2表(8月),鹿児島県,134.2200,33.9182
5,2023-07-01,65362.0,582.0,64.0,61.0,311.0,79.0,77.0,135.0,665.0,352.0,230.0,1342.0,1388.0,8561.0,2398.0,124.0,174.0,170.0,79.0,158.0,214.0,418.0,541.0,2002.0,293.0,341.0,647.0,4505.0,1498.0,272.0,189.0,56.0,253.0,575.0,874.0,391.0,79.0,299.0,292.0,49.0,6602.0,723.0,682.0,2517.0,740.0,2374.0,14690.0,289.0,5988.0,582.0,727.0,15094.0,682.0,3333.0,7452.0,2149.0,719.0,28328.0,289.0,2023,7,810003009,参考第2表(7月),鹿児島県,134.2381,33.9396
6,2023-06-01,65247.0,560.0,107.0,43.0,367.0,19.0,31.0,79.0,324.0,108.0,83.0,1018.0,1057.0,11208.0,1758.0,511.0,90.0,154.0,99.0,69.0,220.0,294.0,679.0,2576.0,224.0,254.0,509.0,6404.0,1660.0,274.0,88.0,121.0,42.0,574.0,2129.0,264.0,36.0,140.0,250.0,67.0,6087.0,588.0,493.0,2353.0,571.0,2771.0,10995.0,690.0,6169.0,560.0,646.0,15625.0,975.0,3872.0,9189.0,3130.0,493.0,23858.0,690.0,2023,6,810003011,参考第2表(6月),鹿児島県,134.5807,34.0944
7,2023-05-01,84134.0,1101.0,107.0,47.0,448.0,77.0,43.0,80.0,369.0,216.0,197.0,1822.0,1588.0,14326.0,3075.0,152.0,135.0,236.0,131.0,141.0,434.0,412.0,1124.0,4137.0,435.0,376.0,771.0,8252.0,2636.0,477.0,218.0,50.0,128.0,951.0,3224.0,921.0,192.0,298.0,229.0,54.0,7961.0,761.0,941.0,2111.0,900.0,2575.0,13414.0,578.0,4464.0,1101.0,802.0,21734.0,957.0,6239.0,12730.0,5274.0,773.0,28663.0,578.0,2023,5,810003013,参考第2表(5月),鹿児島県,134.8256,34.2674
8,2023-04-01,68669.0,1069.0,45.0,106.0,317.0,83.0,70.0,106.0,213.0,185.0,117.0,1459.0,1268.0,12168.0,2337.0,166.0,113.0,118.0,183.0,82.0,352.0,353.0,745.0,2695.0,214.0,320.0,779.0,4714.0,1750.0,402.0,185.0,23.0,64.0,346.0,2105.0,446.0,114.0,519.0,181.0,56.0,7124.0,676.0,665.0,1935.0,790.0,2267.0,11357.0,521.0,6766.0,1069.0,727.0,17829.0,749.0,4190.0,8150.0,2984.0,870.0,24814.0,521.0,2023,4,1616669,参考第2表(4月),鹿児島県,134.7376,34.2265
9,2023-03-01,82371.0,860.0,93.0,67.0,464.0,38.0,84.0,60.0,290.0,263.0,260.0,1374.0,1266.0,13071.0,2319.0,219.0,69.0,163.0,212.0,109.0,518.0,342.0,718.0,2931.0,465.0,308.0,916.0,5635.0,1959.0,400.0,189.0,76.0,116.0,384.0,2274.0,431.0,130.0,310.0,295.0,33.0,5967.0,621.0,741.0,1576.0,617.0,1418.0,14014.0,494.0,6232.0,860.0,806.0,18952.0,969.0,4668.0,9407.0,3281.0,768.0,24954.0,494.0,2023,3,1611685,参考第2表(3月),鹿児島県,134.8182,34.2035
